,1,31,18,180,(1 0),(0 0),(-1 -1),(1 2),(0 8),(2 2),(0 15),(3 8),(4 6),(0 11),(0 6),(2 6),(0 9),(5 9),(4 11),0.25
,1,31,19,181,(0 0),(5 0),(0 3),(4 2),(0 2),(-1 -1),(0 16),(0 7),(3 7),(2 12),(5 6),(1 8),(1 10),(0 8),(1 12),0.304
,1,32,20,184,(1 0),(0 0),(-1 -1),(5 2),(1 2),(2 7),(0 17),(0 5),(3 5),(2 11),(2 6),(0 6),(0 15),(0 8),(1 10),0.254
,1,30,18,178,(0 0),(4 0),(-1 -1),(5 2),(0 6),(0 2),(0 15),(3 8),(1 7),(1 11),(0 7),(3 6),(1 9),(0 8),(5 11),0.256
,1,30,18,178,(0 0),(4 0),(-1 -1),(5 2),(2 8),(0 2),(0 15),(0 6),(0 7),(0 11),(2 7),(3 6),(0 9),(5 8),(4 11),0.303
,1,31,19,181,(0 0),(5 0),(-1 -1),(4 2),(0 2),(0 3),(0 16),(0 7),(1 8),(2 10),(5 6),(3 7),(0 14),(0 8),(1 10),0.29
,0,63,20,146,(0 0),(4 0),(2 10),(5 2),(0 9),(0 2),(0 6),(3 9),(0 10),(0 14),(5 7),(0 12),(0 18),(5 14),(4 14),0.32
,1,32,19,183,(0 0),(4 0),(-1 -1),(5 2),(2 6),(0 2),(0 16),(2 7),(1 10),(1 12),(5 7),(0 6),(0 8),(5 8),(0 10),0.295
,1,31,19,181,(1 0),(0 0),(-1 -1),(5 2),(1 2),(1 3),(0 16),(3 7),(3 8),(2 10),(0 6),(1 7),(0 14),(0 8),(1 10),0.255
,1,30,18,178,(0 0),(5 0),(1 2),(0 2),(0 8),(-1 -1),(0 15),(3 6),(3 7),(0 11),(0 7),(1 6),(0 9),(5 8),(4 11),0.306
,0,63,20,146,(0 0),(4 0),(0 14),(5 2),(0 9),(0 2),(0 6),(3 9),(0 10),(2 10),(5 7),(0 12),(0 18),(5 14),(4 14),0.34
,1,31,18,180,(0 0),(5 0),(-1 -1),(4 2),(0 8),(0 2),(0 15),(3 8),(2 6),(2 11),(5 6),(0 6),(1 9),(0 9),(1 11),0.315
